Grid_ID,Lon,Lat,Event_Type,Delta_Total_mean_ScenarioSpecific,Delta_HA_mean_ScenarioSpecific,Delta_CC_mean_ScenarioSpecific,Delta_Total_mean_CommonReference,Delta_HA_mean_CommonReference,Delta_CC_mean_CommonReference
1501,118.25,48.75,Drought,-0.4023967796156227,0.0070175438596491,-0.4094143234752718,-0.1501634147913361,0.0038269098249433,-0.1539903246162794
1502,118.75,48.75,Drought,-0.3538943221966902,-0.0752380952380952,-0.2786562269585949,-0.4200847855765104,0.0180268372305425,-0.4381116228070529
1503,119.25,48.75,Drought,-0.3189445069750368,-0.0304922646106015,-0.2884522423644352,-0.49393681714283,0.1706613081071061,-0.6645981252499362
1504,119.75,48.75,Drought,-0.3426748588432811,0.0713349593466837,-0.4140098181899648,-0.5200739856858545,-0.1392931492180561,-0.3807808364677984
1505,120.25,48.75,Drought,-0.1567037135598364,0.1091936385303359,-0.2658973520901724,-0.1813101246109801,-0.0490050916078738,-0.1323050330031062
1506,120.75,48.75,Drought,-0.2059365082282694,0.1010520722480499,-0.3069885804763194,-0.3494645764818651,-0.0116892077567685,-0.3377753687250964
1507,121.25,48.75,Drought,-0.2941258565675547,0.0066812779587861,-0.3008071345263408,-0.4222169157138702,-0.0747724258954751,-0.3474444898183951
1508,121.75,48.75,Drought,-0.2336955173395976,-0.0062310539714151,-0.2274644633681824,-0.2891190343309677,-0.025425034605825,-0.2636939997251427
1509,122.25,48.75,Drought,-0.2743407321413136,-0.0142404197072862,-0.2601003124340273,-0.1845009408210774,0.0172944052560433,-0.2017953460771207
1510,122.75,48.75,Drought,-0.2935555251041266,0.0023774423062741,-0.2959329674104007,-0.1415734932125399,-0.0031863527339415,-0.1383871404785984
1511,123.25,48.75,Drought,-0.3177825319654698,-0.1040699972713777,-0.213712534694092,-0.2087804746448169,0.0008927403354154,-0.2096732149802323
1512,123.75,48.75,Drought,-0.1391569122157624,0.0128338482616211,-0.1519907604773835,-0.2121238521607237,0.0641743139251798,-0.2762981660859035
